ID;poID;orderNumber;materialID;material;supplierID;supplier;quantity;unit;unitPrice;totalAmount;currency_code;status;deliveryDate;notes;requestedBy;generatedByAI;createdAt;modifiedAt
1;PO-0001;PO-2024-001;MAT-0001;Steel Rods 10mm;SUP-0001;MetalCorp Industries;500;PC;12.50;6250.00;USD;Approved;2024-08-15;Urgent delivery required for construction project;John Doe;false;2024-07-15T10:00:00Z;2024-07-15T10:00:00Z
2;PO-0002;PO-2024-002;MAT-0002;Aluminum Sheets 2mm;SUP-0002;AlumTech Solutions;200;M;25.75;5150.00;USD;Draft;2024-08-20;Quality certification required;Jane Smith;false;2024-07-16T10:00:00Z;2024-07-16T10:00:00Z
3;PO-0003;PO-2024-003;MAT-0003;Copper Wire 2.5mm;SUP-0003;ElectroSupply Co.;1000;M;3.20;3200.00;USD;Submitted;2024-08-10;Electrical grade copper required;Mike Johnson;false;2024-07-17T10:00:00Z;2024-07-17T10:00:00Z
4;PO-0004;PO-2024-004;MAT-0004;Concrete Mix;SUP-0004;BuildMaster Supplies;50;KG;8.90;445.00;USD;Delivered;2024-07-30;High-strength concrete for foundation;Sarah Wilson;false;2024-07-18T10:00:00Z;2024-07-18T10:00:00Z
5;PO-0005;PO-2024-005;MAT-0005;Safety Helmets;SUP-0005;SafetyFirst Equipment;25;PC;15.00;375.00;USD;Approved;2024-08-05;ANSI certified helmets required;David Brown;true;2024-07-19T10:00:00Z;2024-07-19T10:00:00Z
6;PO-0006;PO-2024-006;MAT-0006;Industrial Lubricant;SUP-0006;LubeTech Industries;100;L;22.50;2250.00;USD;Rejected;2024-08-12;Price too high seeking alternative supplier;Lisa Davis;false;2024-07-20T10:00:00Z;2024-07-20T10:00:00Z
7;PO-0007;PO-2024-007;MAT-0007;Welding Electrodes;SUP-0007;WeldPro Supplies;15;KG;18.75;281.25;USD;Approved;2024-08-08;E7018 electrodes for structural work;Robert Garcia;true;2024-07-21T10:00:00Z;2024-07-21T10:00:00Z
8;PO-0008;PO-2024-008;MAT-0008;PVC Pipes 4 inch;SUP-0008;PipeMaster Inc;100;M;8.45;845.00;USD;Submitted;2024-08-18;Schedule 40 pipes for plumbing;Jennifer Martinez;false;2024-07-22T10:00:00Z;2024-07-22T10:00:00Z
9;PO-0009;PO-2024-009;MAT-0009;Stainless Steel Bolts M12;SUP-0009;BoltTech Solutions;200;PC;2.85;570.00;USD;Approved;2024-08-06;Grade 316 bolts required;Christopher Anderson;true;2024-07-23T10:00:00Z;2024-07-23T10:00:00Z
10;PO-0010;PO-2024-010;MAT-0010;Hydraulic Oil ISO 46;SUP-0010;FluidTech Corp;25;L;12.30;307.50;USD;Draft;2024-08-22;Premium grade hydraulic oil;Amanda Taylor;false;2024-07-24T10:00:00Z;2024-07-24T10:00:00Z
11;PO-0011;PO-2024-011;MAT-0011;LED Light Fixtures;SUP-0011;LightTech Systems;8;PC;45.60;364.80;USD;Submitted;2024-08-25;Energy efficient 40W fixtures;Kevin Thomas;false;2024-07-25T10:00:00Z;2024-07-25T10:00:00Z
12;PO-0012;PO-2024-012;MAT-0012;Rubber Gaskets;SUP-0012;SealPro Industries;500;PC;1.25;625.00;USD;Approved;2024-08-03;EPDM gaskets for sealing;Michelle Jackson;true;2024-07-26T10:00:00Z;2024-07-26T10:00:00Z
13;PO-0013;PO-2024-013;MAT-0013;Carbon Steel Plates;SUP-0013;SteelWorks Ltd;20;M2;35.80;716.00;USD;Draft;2024-08-28;A36 steel plates 10mm thick;Daniel White;false;2024-07-27T10:00:00Z;2024-07-27T10:00:00Z
14;PO-0014;PO-2024-014;MAT-0014;Industrial Adhesive;SUP-0014;ChemBond Corp;12;KG;28.90;346.80;USD;Approved;2024-08-14;Structural epoxy adhesive;Rachel Harris;false;2024-07-28T10:00:00Z;2024-07-28T10:00:00Z
15;PO-0015;PO-2024-015;MAT-0015;Ball Bearings 6205;SUP-0015;BearingTech Inc;50;PC;8.75;437.50;USD;Submitted;2024-08-16;Deep groove ball bearings;Mark Clark;true;2024-07-29T10:00:00Z;2024-07-29T10:00:00Z
16;PO-0016;PO-2024-016;MAT-0016;Insulation Foam;SUP-0016;InsulPro Materials;20;CAN;15.40;308.00;USD;Approved;2024-08-09;Polyurethane foam spray;Laura Lewis;false;2024-07-30T10:00:00Z;2024-07-30T10:00:00Z
17;PO-0017;PO-2024-017;MAT-0017;Ceramic Tiles;SUP-0017;TileMaster Co;30;M2;22.15;664.50;USD;Draft;2024-08-30;Porcelain tiles 600x600mm;Steven Robinson;false;2024-07-31T10:00:00Z;2024-07-31T10:00:00Z
18;PO-0018;PO-2024-018;MAT-0018;Electric Motors 3HP;SUP-0018;MotorTech Industries;2;PC;285.50;571.00;USD;Submitted;2024-09-05;Three-phase motors 1800RPM;Nicole Walker;false;2024-08-01T10:00:00Z;2024-08-01T10:00:00Z
19;PO-0019;PO-2024-019;MAT-0019;Pneumatic Cylinders;SUP-0019;PneumaTech Corp;6;PC;125.75;754.50;USD;Approved;2024-08-11;Double-acting cylinders 50mm;Brian Young;true;2024-08-02T10:00:00Z;2024-08-02T10:00:00Z
20;PO-0020;PO-2024-020;MAT-0020;Fire Extinguishers;SUP-0020;FireSafe Equipment;12;PC;35.90;430.80;USD;Delivered;2024-08-01;ABC dry chemical 5lb units;Ashley Allen;false;2024-08-03T10:00:00Z;2024-08-03T10:00:00Z
21;PO-0021;PO-2024-021;MAT-0021;Titanium Rods 20mm;SUP-0021;TitanTech Materials;5;M;145.80;729.00;USD;Draft;2024-09-10;Grade 2 titanium rods;Gregory King;false;2024-08-04T10:00:00Z;2024-08-04T10:00:00Z
22;PO-0022;PO-2024-022;MAT-0022;Silicone Sealant;SUP-0022;SiliSeal Pro;40;TUBE;8.95;358.00;USD;Approved;2024-08-13;High-temperature sealant;Melissa Wright;true;2024-08-05T10:00:00Z;2024-08-05T10:00:00Z
23;PO-0023;PO-2024-023;MAT-0023;Gear Oil SAE 90;SUP-0023;GearLube Corp;18;L;9.85;177.30;USD;Submitted;2024-08-19;Heavy-duty gear oil;Timothy Lopez;false;2024-08-06T10:00:00Z;2024-08-06T10:00:00Z
24;PO-0024;PO-2024-024;MAT-0024;Pressure Gauges;SUP-0024;GaugeTech Inc;8;PC;28.45;227.60;USD;Approved;2024-08-17;Bourdon tube gauges 0-100 PSI;Kimberly Hill;false;2024-08-07T10:00:00Z;2024-08-07T10:00:00Z
25;PO-0025;PO-2024-025;MAT-0025;Fiberglass Sheets;SUP-0025;FiberTech Materials;15;M2;18.60;279.00;USD;Draft;2024-08-26;E-glass sheets 3mm thick;Joseph Scott;false;2024-08-08T10:00:00Z;2024-08-08T10:00:00Z
26;PO-0026;PO-2024-026;MAT-0026;Chain Hoists 2 Ton;SUP-0026;LiftTech Equipment;2;PC;185.90;371.80;USD;Submitted;2024-09-02;Manual chain hoists;Stephanie Green;true;2024-08-09T10:00:00Z;2024-08-09T10:00:00Z
27;PO-0027;PO-2024-027;MAT-0027;Cutting Fluids;SUP-0027;MachineLube Inc;30;L;14.75;442.50;USD;Approved;2024-08-21;Water-soluble cutting fluids;Andrew Adams;false;2024-08-10T10:00:00Z;2024-08-10T10:00:00Z
28;PO-0028;PO-2024-028;MAT-0028;Expansion Joints;SUP-0028;FlexJoint Systems;4;PC;95.40;381.60;USD;Draft;2024-08-29;Rubber expansion joints 6 inch;Heather Baker;false;2024-08-11T10:00:00Z;2024-08-11T10:00:00Z
29;PO-0029;PO-2024-029;MAT-0029;Heat Exchangers;SUP-0029;HeatTech Solutions;1;PC;1250.00;1250.00;USD;Submitted;2024-09-15;Plate heat exchanger 50 kW;Ryan Gonzalez;false;2024-08-12T10:00:00Z;2024-08-12T10:00:00Z
30;PO-0030;PO-2024-030;MAT-0030;Abrasive Wheels;SUP-0030;GrindTech Tools;25;PC;12.85;321.25;USD;Approved;2024-08-23;Grinding wheels 9 inch;Samantha Nelson;true;2024-08-13T10:00:00Z;2024-08-13T10:00:00Z
31;PO-0031;PO-2024-031;MAT-0031;Polyethylene Sheets;SUP-0031;PolyTech Materials;18;M2;16.25;292.50;USD;Draft;2024-08-31;HDPE sheets 5mm black;Jonathan Carter;false;2024-08-14T10:00:00Z;2024-08-14T10:00:00Z
32;PO-0032;PO-2024-032;MAT-0032;Solenoid Valves;SUP-0032;ValveTech Corp;10;PC;68.90;689.00;USD;Approved;2024-08-24;24V DC valves 1/2 inch;Christina Mitchell;false;2024-08-15T10:00:00Z;2024-08-15T10:00:00Z
33;PO-0033;PO-2024-033;MAT-0033;Thermal Insulation;SUP-0033;ThermalTech Inc;50;M2;8.45;422.50;USD;Submitted;2024-08-27;Mineral wool insulation batts;Matthew Perez;true;2024-08-16T10:00:00Z;2024-08-16T10:00:00Z
34;PO-0034;PO-2024-034;MAT-0034;Proximity Sensors;SUP-0034;SensorTech Systems;6;PC;45.60;273.60;USD;Approved;2024-08-20;Inductive sensors M18;Elizabeth Roberts;false;2024-08-17T10:00:00Z;2024-08-17T10:00:00Z
35;PO-0035;PO-2024-035;MAT-0035;Conveyor Belts;SUP-0035;ConveyTech Inc;12;M;85.40;1024.80;USD;Draft;2024-09-03;Rubber belts 24 inch wide;Charles Turner;false;2024-08-18T10:00:00Z;2024-08-18T10:00:00Z
36;PO-0036;PO-2024-036;MAT-0036;Welding Wire ER70S-6;SUP-0036;WeldWire Pro;35;KG;4.85;169.75;USD;Approved;2024-08-25;MIG wire 0.035 inch;Jessica Phillips;true;2024-08-19T10:00:00Z;2024-08-19T10:00:00Z
37;PO-0037;PO-2024-037;MAT-0037;Centrifugal Pumps;SUP-0037;PumpTech Industries;1;PC;485.75;485.75;USD;Submitted;2024-09-08;5HP pump 3500 RPM;Joshua Campbell;false;2024-08-20T10:00:00Z;2024-08-20T10:00:00Z
38;PO-0038;PO-2024-038;MAT-0038;Flexible Hoses;SUP-0038;HoseTech Corp;22;M;18.95;416.90;USD;Approved;2024-08-28;Hydraulic hoses 1/2 inch;Sarah Parker;false;2024-08-21T10:00:00Z;2024-08-21T10:00:00Z
