ID;supplierID;name;address;contact;email;phone;pricePerUnit;currency_code;deliveryTime;fulfillmentRate;rating;isActive;createdAt;modifiedAt
1;SUP-0001;MetalCorp Industries;123 Industrial Ave, Steel City, SC 12345;John Smith;john.smith@metalcorp.com;+1-555-0101;12.50;USD;5;98.5;5;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
2;SUP-0002;AlumTech Solutions;456 Aluminum Blvd, Metal Town, MT 67890;Sarah Johnson;sarah.j@alumtech.com;+1-555-0102;25.75;USD;7;95.2;4;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
3;SUP-0003;ElectroSupply Co.;789 Electric St, Power City, PC 11111;Mike Wilson;mike.w@electrosupply.com;+1-555-0103;3.20;USD;3;99.1;5;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
4;SUP-0004;BuildMaster Supplies;321 Construction Rd, Build City, BC 22222;Lisa Brown;lisa.b@buildmaster.com;+1-555-0104;8.90;USD;10;92.8;4;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
5;SUP-0005;SafetyFirst Equipment;555 Safety Blvd, Secure Town, ST 33333;David Lee;david.l@safetyfirst.com;+1-555-0105;15.00;USD;4;96.7;5;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
6;SUP-0006;LubeTech Industries;777 Lubricant Lane, Oil City, OC 44444;Emma Davis;emma.d@lubetech.com;+1-555-0106;22.50;USD;6;94.3;4;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
7;SUP-0007;WeldPro Supplies;999 Welding Way, Torch Town, TT 55555;Robert Garcia;robert.g@weldpro.com;+1-555-0107;18.75;USD;8;97.1;5;true;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
8;SUP-0008;PipeMaster Inc;111 Pipeline Dr, Flow City, FC 66666;Jennifer Martinez;jennifer.m@pipemaster.com;+1-555-0108;8.45;USD;5;93.9;4;true;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
9;SUP-0009;BoltTech Solutions;222 Fastener Ave, Bolt Borough, BB 77777;Christopher Anderson;chris.a@bolttech.com;+1-555-0109;2.85;USD;3;98.8;5;true;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
10;SUP-0010;FluidTech Corp;333 Hydraulic Hwy, Pressure Point, PP 88888;Amanda Taylor;amanda.t@fluidtech.com;+1-555-0110;12.30;USD;7;95.6;4;true;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
