ID;materialID;name;description;category;unit;unitPrice;currency_code;stockQty;reorderLevel;maxStock;supplier;avgMonthlyUsage;createdAt;modifiedAt
1;MAT-0001;Steel Rods 10mm;High-grade steel rods 10mm diameter for construction;Construction;PC;12.50;USD;245;100;500;MetalCorp Industries;120;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
2;MAT-0002;Aluminum Sheets 2mm;Lightweight aluminum sheets 2mm thick for fabrication;Construction;M2;25.75;USD;85;50;300;AlumTech Solutions;85;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
3;MAT-0003;Copper Wire 2.5mm;Electrical grade copper wire 2.5mm for wiring;Electrical;M;3.20;USD;450;200;1000;ElectroSupply Co.;150;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
4;MAT-0004;Concrete Mix;High-strength concrete mix for foundations;Construction;KG;8.90;USD;180;20;400;BuildMaster Supplies;95;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
5;MAT-0005;Safety Helmets;ANSI certified safety helmets with chin strap;Safety;PC;15.00;USD;75;30;150;SafetyFirst Equipment;45;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
6;MAT-0006;Industrial Lubricant;High-performance synthetic industrial lubricant;Maintenance;L;22.50;USD;42;25;100;LubeTech Industries;35;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
7;MAT-0007;Welding Electrodes;E7018 welding electrodes for structural welding;Welding;KG;18.75;USD;65;40;200;WeldPro Supplies;60;2024-01-15T10:00:00Z;2024-07-30T10:00:00Z
8;MAT-0008;PVC Pipes 4 inch;Schedule 40 PVC pipes 4 inch diameter;Plumbing;M;8.45;USD;320;150;800;PipeMaster Inc;180;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
9;MAT-0009;Stainless Steel Bolts M12;Grade 316 stainless steel bolts M12x50;Fasteners;PC;2.85;USD;890;500;2000;BoltTech Solutions;650;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
10;MAT-0010;Hydraulic Oil ISO 46;Premium hydraulic oil ISO VG 46;Maintenance;L;12.30;USD;125;80;300;FluidTech Corp;95;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
11;MAT-0011;LED Light Fixtures;Energy efficient LED light fixtures 40W;Electrical;PC;45.60;USD;35;20;100;LightTech Systems;25;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
12;MAT-0012;Rubber Gaskets;EPDM rubber gaskets for sealing applications;Sealing;PC;1.25;USD;1250;800;3000;SealPro Industries;980;2024-01-16T10:00:00Z;2024-07-30T10:00:00Z
13;MAT-0013;Carbon Steel Plates;A36 carbon steel plates 10mm thick;Construction;M2;35.80;USD;95;60;250;SteelWorks Ltd;75;2024-01-17T10:00:00Z;2024-07-30T10:00:00Z
